Lesson 1985.12.01 13:45 "Alexey Y" "class name 1"
Lesson  2018.01.30 15:45 "Vadim G" "class name 2"
Lesson  2018.01.30 15:45 "Vadim G" "class name 3"
Lesson  2018.01.30 15:45 "Vadim G" "class name 2"
Lesson  2018.01.30 15:45 "Vadim G" "class name 1"
Location "Some location 123"
ClassRoom "my location 456" 4-12 "class name 1"
ClassRoom "my location 456" 4-12 "class name 2"
ClassRoom "my location 456" 4-12 "class name 3"
ClassRoom "my location 456" 4-12 "class name 4"
ClassRoom "my location 456" 4-12 "class name 5"
